sample_1	sample_2	Type	sample_1_reads	sample_2_reads	sample_1_2_reads	sample_2_1_reads	rate
TW037_NA_SG	TW050_NA_SG	SG	689564	17162729	2374	46	0.0001355384
TW037_NA_SG	TW054_LE3_TW1	TW_SG	689564	12029117	891	48	7.38229e-05
TW037_NA_SG	TW069_NA_SG	SG	689564	8649838	4626	172	0.0005134735
TW030_LE2_TW1	TW010_NA_SG	TW_SG	9786158	8407596	740	508	6.85902e-05
TW030_LE2_TW1	TW035_HE6_TW1	TW	9786158	4455514	133	428	3.93898e-05
TW030_LE2_TW1	TW064_NA_SG	TW_SG	9786158	7899827	1588	7947	0.0005388369
TW030_LE2_TW1	TW022_NA_SG	TW_SG	9786158	15572830	431	349	3.07573e-05
TW030_LE2_TW1	TW026_NA_TW1	TW	9786158	8644611	241	368	3.30414e-05
TW030_LE2_TW1	TW062_NA_SG	TW_SG	9786158	5774061	2657	2490	0.00033067
TW030_LE2_TW1	TW066_HE5_TW1	TW	9786158	7583713	1390	1048	0.0001403382
TW030_LE2_TW1	TW023_NA_SG	TW_SG	9786158	14005960	1077	836	8.03983e-05
TW030_LE2_TW1	TW036_HE5_TW1	TW	9786158	6448197	179	165	2.11891e-05
TW030_LE2_TW1	TW021_NA_SG	TW_SG	9786158	7682907	1521	1128	0.0001516164
TW030_LE2_TW1	TW031_HE6_TW1	TW	9786158	7870204	177	159	1.90296e-05
TW030_LE2_TW1	TW042_NA_SG	TW_SG	9786158	6685121	2356	1868	0.0002563806
TW030_LE2_TW1	TW041_HE4_TW1	TW	9786158	12027986	258	262	2.38371e-05
TW030_LE2_TW1	TW032_NA_SG	TW_SG	9786158	8168903	689	2302	0.0001665548
TW030_LE2_TW1	TW024_HE4_TW1	TW	9786158	4999574	1452	331	0.0001205746
TW030_LE2_TW1	TW059_NA_SG	TW_SG	9786158	9285893	604	619	6.41211e-05
TW030_LE2_TW1	TW053_HE5_TW1	TW	9786158	8630134	1112	2421	0.0001918042
TW030_LE2_TW1	TW045_NA_SG	TW_SG	9786158	7133260	883	594	8.72885e-05
TW030_LE2_TW1	TW058_LE3_TW1	TW	9786158	5963756	267	240	3.21896e-05
TW030_LE2_TW1	TW029_NA_SG	TW_SG	9786158	7697331	752	602	7.74384e-05
TW030_LE2_TW1	TW061_NA_SG	TW_SG	9786158	8590347	752	489	6.75273e-05
TW030_LE2_TW1	TW016_NA_TW1	TW	9786158	10190759	551	398	4.75025e-05
TW030_LE2_TW1	TW052_HE4_TW1	TW	9786158	12173455	411	416	3.76586e-05
TW030_LE2_TW1	TW051_NA_SG	TW_SG	9786158	9668794	568	622	6.11632e-05
TW030_LE2_TW1	TW011_LE1_TW1	TW	9786158	4919761	103	133	1.60477e-05
TW030_LE2_TW1	TW006_NA_SG	TW_SG	9786158	44135255	6057	3665	0.0001802669
TW030_LE2_TW1	TW063_NA_SG	TW_SG	9786158	6783887	522	499	6.16134e-05
TW030_LE2_TW1	TW048_NA_TW1	TW	9786158	4935903	170	151	2.18035e-05
TW030_LE2_TW1	TW003_NA_SG	TW_SG	9786158	7329539	602	482	6.33296e-05
TW030_LE2_TW1	TW072_NA_TW1	TW	9786158	5628754	190	129	2.06938e-05
TW030_LE2_TW1	TW040_LE2_TW1	LE	9786158	11420717	147854	166823	0.0146214826
TW030_LE2_TW1	TW034_NA_SG	TW_SG	9786158	8946256	1585	1050	0.0001406454
TW030_LE2_TW1	TW046_NA_SG	TW_SG	9786158	17146070	624	1269	7.02825e-05
TW030_LE2_TW1	TW013_NA_SG	TW_SG	9786158	13906382	437	393	3.50308e-05
TW030_LE2_TW1	TW044_NA_TW1	TW	9786158	9026463	367	905	6.76096e-05
TW030_LE2_TW1	TW068_NA_SG	TW_SG	9786158	37914848	11126	4202	0.0003212317
TW030_LE2_TW1	TW001_NA_TW1	TW	9786158	28457319	1871	2613	0.000117235
TW030_LE2_TW1	TW015_HE4_TW1	TW	9786158	9784335	397	1337	8.85949e-05
TW030_LE2_TW1	TW050_NA_SG	TW_SG	9786158	17162729	526	1036	5.79582e-05
TW030_LE2_TW1	TW054_LE3_TW1	TW	9786158	12029117	304	308	2.80529e-05
TW030_LE2_TW1	TW069_NA_SG	TW_SG	9786158	8649838	1995	1214	0.0001740313
TW010_NA_SG	TW035_HE6_TW1	TW_SG	8407596	4455514	238	223	3.58376e-05
TW010_NA_SG	TW064_NA_SG	SG	8407596	7899827	1339	1094	0.0001491736
TW010_NA_SG	TW022_NA_SG	SG	8407596	15572830	1107	1158	9.44431e-05
TW010_NA_SG	TW026_NA_TW1	TW_SG	8407596	8644611	540	698	7.25953e-05
TW010_NA_SG	TW062_NA_SG	SG	8407596	5774061	1386	2250	0.0002563218
TW010_NA_SG	TW066_HE5_TW1	TW_SG	8407596	7583713	4753	1814	0.0004104919
TW010_NA_SG	TW023_NA_SG	SG	8407596	14005960	1551	1456	0.0001341418
TW010_NA_SG	TW036_HE5_TW1	TW_SG	8407596	6448197	386	446	5.60019e-05
TW010_NA_SG	TW021_NA_SG	SG	8407596	7682907	1263	1371	0.0001636722
TW010_NA_SG	TW031_HE6_TW1	TW_SG	8407596	7870204	437	445	5.41812e-05
TW010_NA_SG	TW042_NA_SG	SG	8407596	6685121	1870	1299	0.0002099247
TW010_NA_SG	TW041_HE4_TW1	TW_SG	8407596	12027986	1290	881	0.0001062249
TW010_NA_SG	TW032_NA_SG	SG	8407596	8168903	1086	1015	0.0001267296
TW010_NA_SG	TW024_HE4_TW1	TW_SG	8407596	4999574	256	292	4.08719e-05
TW010_NA_SG	TW059_NA_SG	SG	8407596	9285893	828	972	0.0001017219
TW010_NA_SG	TW053_HE5_TW1	TW_SG	8407596	8630134	476	722	7.03095e-05
TW010_NA_SG	TW045_NA_SG	SG	8407596	7133260	1250	1335	0.000166308
TW010_NA_SG	TW058_LE3_TW1	TW_SG	8407596	5963756	348	334	4.74532e-05
TW010_NA_SG	TW029_NA_SG	SG	8407596	7697331	1067	1299	0.0001468899
TW010_NA_SG	TW061_NA_SG	SG	8407596	8590347	1904	1352	0.0001915159
TW010_NA_SG	TW016_NA_TW1	TW_SG	8407596	10190759	1845	696	0.0001366063
TW010_NA_SG	TW052_HE4_TW1	TW_SG	8407596	12173455	1160	916	0.0001008593
TW010_NA_SG	TW051_NA_SG	SG	8407596	9668794	2551	3049	0.0003097004
TW010_NA_SG	TW011_LE1_TW1	TW_SG	8407596	4919761	305	480	5.88979e-05
TW010_NA_SG	TW006_NA_SG	SG	8407596	44135255	14449	6421	0.0003970419
TW010_NA_SG	TW063_NA_SG	SG	8407596	6783887	731	855	0.0001043897
TW010_NA_SG	TW048_NA_TW1	TW_SG	8407596	4935903	302	297	4.48887e-05
TW010_NA_SG	TW003_NA_SG	SG	8407596	7329539	808	1007	0.000115319
TW010_NA_SG	TW072_NA_TW1	TW_SG	8407596	5628754	310	304	4.37416e-05
TW010_NA_SG	TW040_LE2_TW1	TW_SG	8407596	11420717	683	853	7.74589e-05
TW010_NA_SG	TW034_NA_SG	SG	8407596	8946256	2582	2331	0.000283027
TW010_NA_SG	TW046_NA_SG	SG	8407596	17146070	1039	1446	9.72368e-05
TW010_NA_SG	TW013_NA_SG	SG	8407596	13906382	1646	1023	0.0001195968
TW010_NA_SG	TW044_NA_TW1	TW_SG	8407596	9026463	979	845	0.0001046118
TW010_NA_SG	TW068_NA_SG	SG	8407596	37914848	5874	5496	0.0002453931
TW010_NA_SG	TW001_NA_TW1	TW_SG	8407596	28457319	1964	1984	0.0001070822
TW010_NA_SG	TW015_HE4_TW1	TW_SG	8407596	9784335	1178	838	0.000110806
TW010_NA_SG	TW050_NA_SG	SG	8407596	17162729	906	1173	8.12985e-05
TW010_NA_SG	TW054_LE3_TW1	TW_SG	8407596	12029117	591	723	6.42919e-05
TW010_NA_SG	TW069_NA_SG	SG	8407596	8649838	2028	1620	0.0002138199
TW035_HE6_TW1	TW064_NA_SG	TW_SG	4455514	7899827	745	2354	0.0002507598
TW035_HE6_TW1	TW022_NA_SG	TW_SG	4455514	15572830	391	405	3.9742e-05
TW035_HE6_TW1	TW026_NA_TW1	TW	4455514	8644611	194	597	6.03774e-05
TW035_HE6_TW1	TW062_NA_SG	TW_SG	4455514	5774061	686	1242	0.0001884376
TW035_HE6_TW1	TW066_HE5_TW1	TW	4455514	7583713	115	156	2.25092e-05
TW035_HE6_TW1	TW023_NA_SG	TW_SG	4455514	14005960	5729	837	0.0003555331
TW035_HE6_TW1	TW036_HE5_TW1	TW	4455514	6448197	3513	2751	0.0005741534
TW035_HE6_TW1	TW021_NA_SG	TW_SG	4455514	7682907	485	534	8.39412e-05
TW035_HE6_TW1	TW031_HE6_TW1	HE	4455514	7870204	32271	30261	0.0050476863
TW035_HE6_TW1	TW042_NA_SG	TW_SG	4455514	6685121	423	537	8.61636e-05
TW035_HE6_TW1	TW041_HE4_TW1	TW	4455514	12027986	95	199	1.78356e-05
TW035_HE6_TW1	TW032_NA_SG	TW_SG	4455514	8168903	309	3293	0.0002852387
TW035_HE6_TW1	TW024_HE4_TW1	TW	4455514	4999574	447	70	5.46765e-05
TW035_HE6_TW1	TW059_NA_SG	TW_SG	4455514	9285893	592	262	6.2144e-05
TW035_HE6_TW1	TW053_HE5_TW1	TW	4455514	8630134	1248	170	0.0001083512
TW035_HE6_TW1	TW045_NA_SG	TW_SG	4455514	7133260	212	214	3.67583e-05
TW035_HE6_TW1	TW058_LE3_TW1	TW	4455514	5963756	70	91	1.54518e-05
TW035_HE6_TW1	TW029_NA_SG	TW_SG	4455514	7697331	208	235	3.6451e-05
TW035_HE6_TW1	TW061_NA_SG	TW_SG	4455514	8590347	322	255	4.42266e-05
TW035_HE6_TW1	TW016_NA_TW1	TW	4455514	10190759	87	184	1.85026e-05
TW035_HE6_TW1	TW052_HE4_TW1	TW	4455514	12173455	117	163	1.68378e-05
TW035_HE6_TW1	TW051_NA_SG	TW_SG	4455514	9668794	318	321	4.52391e-05
TW035_HE6_TW1	TW011_LE1_TW1	TW	4455514	4919761	32	50	8.7463e-06
TW035_HE6_TW1	TW006_NA_SG	TW_SG	4455514	44135255	1342	1395	5.63243e-05
TW035_HE6_TW1	TW063_NA_SG	TW_SG	4455514	6783887	251	337	5.23132e-05
TW035_HE6_TW1	TW048_NA_TW1	TW	4455514	4935903	49	144	2.05502e-05
TW035_HE6_TW1	TW003_NA_SG	TW_SG	4455514	7329539	377	319	5.90543e-05
TW035_HE6_TW1	TW072_NA_TW1	TW	4455514	5628754	185	137	3.19299e-05
TW035_HE6_TW1	TW040_LE2_TW1	TW	4455514	11420717	163	240	2.53832e-05
TW035_HE6_TW1	TW034_NA_SG	TW_SG	4455514	8946256	1071	395	0.0001093765
TW035_HE6_TW1	TW046_NA_SG	TW_SG	4455514	17146070	198	266	2.14794e-05
TW035_HE6_TW1	TW013_NA_SG	TW_SG	4455514	13906382	167	254	2.29273e-05
TW035_HE6_TW1	TW044_NA_TW1	TW	4455514	9026463	3602	1108	0.0003492332
TW035_HE6_TW1	TW068_NA_SG	TW_SG	4455514	37914848	3109	1479	0.0001082715
TW035_HE6_TW1	TW001_NA_TW1	TW	4455514	28457319	239	280	1.57686e-05
TW035_HE6_TW1	TW015_HE4_TW1	TW	4455514	9784335	406	191	4.19228e-05
TW035_HE6_TW1	TW050_NA_SG	TW_SG	4455514	17162729	130	189	1.47558e-05
TW035_HE6_TW1	TW054_LE3_TW1	TW	4455514	12029117	211	235	2.70547e-05
TW035_HE6_TW1	TW069_NA_SG	TW_SG	4455514	8649838	557	427	7.50781e-05
TW064_NA_SG	TW022_NA_SG	SG	7899827	15572830	1008	2505	0.0001496411
TW064_NA_SG	TW026_NA_TW1	TW_SG	7899827	8644611	568	1418	0.0001200259
TW064_NA_SG	TW062_NA_SG	SG	7899827	5774061	1628	3883	0.0004028685
